,site_code,marine_site_name,latitude_x,longitude_x,bioregion_x,island_x,detide_method,year,n,mean,stderr,group_code,marine_sort_order,latitude_y,longitude_y,marine_common_season,marine_season_code,season_sequence,season_name,target_assemblage,method_code,species_code,total,mpa_designation,mpa_region,georegion,bioregion_y,state_province,island_y,last_updated
0,SAGE,Sage Rock,57.04869974,-135.3231401,AK,Baranoff,height,2014,21.492567913890312,13.402305916122037,0.05137179293164102,SSSC,1720,57.04869843,-135.32314,134,SU14,2,Summer,sea_star,IP,EVATRO,1,,,AK,Alaska to British Columbia,Alaska,Baranoff,2019-10-31 11:29:34
1,SAGE,Sage Rock,57.04869974,-135.3231401,AK,Baranoff,height,2014,21.492567913890312,13.402305916122037,0.05137179293164102,SSSC,1720,57.04869843,-135.32314,134,SU14,2,Summer,sea_star,IP,KATTUN,23,,,AK,Alaska to British Columbia,Alaska,Baranoff,2019-10-31 11:29:34
2,SAGE,Sage Rock,57.04869974,-135.3231401,AK,Baranoff,height,2014,21.492567913890312,13.402305916122037,0.05137179293164102,SSSC,1720,57.04869843,-135.32314,134,SU14,2,Summer,sea_star,IP,LEPTAS,64,,,AK,Alaska to British Columbia,Alaska,Baranoff,2019-10-31 11:29:34
3,SAGE,Sage Rock,57.04869974,-135.3231401,AK,Baranoff,height,2014,21.492567913890312,13.402305916122037,0.05137179293164102,SSSC,1720,57.04869843,-135.32314,134,SU14,2,Summer,sea_star,IP,PISOCH,31,,,AK,Alaska to British Columbia,Alaska,Baranoff,2019-10-31 11:29:34
4,SAGE,Sage Rock,57.04869974,-135.3231401,AK,Baranoff,height,2015,21.873577424172204,13.378321554937278,0.04992548969440008,SSSC,1720,57.04869843,-135.32314,138,SU15,2,Summer,sea_star,IP,KATTUN,24,,,AK,Alaska to British Columbia,Alaska,Baranoff,2019-10-31 11:29:34
5,SAGE,Sage Rock,57.04869974,-135.3231401,AK,Baranoff,height,2015,21.873577424172204,13.378321554937278,0.04992548969440008,SSSC,1720,57.04869843,-135.32314,138,SU15,2,Summer,sea_star,IP,LEPTAS,42,,,AK,Alaska to British Columbia,Alaska,Baranoff,2019-10-31 11:29:34
6,SAGE,Sage Rock,57.04869974,-135.3231401,AK,Baranoff,height,2015,21.873577424172204,13.378321554937278,0.04992548969440008,SSSC,1720,57.04869843,-135.32314,138,SU15,2,Summer,sea_star,IP,PISOCH,6,,,AK,Alaska to British Columbia,Alaska,Baranoff,2019-10-31 11:29:34
7,SAGE,Sage Rock,57.04869974,-135.3231401,AK,Baranoff,height,2016,21.142957428671714,12.83756411329514,0.05414625014630475,SSSC,1720,57.04869843,-135.32314,142,SU16,2,Summer,sea_star,IP,EVATRO,16,,,AK,Alaska to British Columbia,Alaska,Baranoff,2019-10-31 11:29:34
8,SAGE,Sage Rock,57.04869974,-135.3231401,AK,Baranoff,height,2016,21.142957428671714,12.83756411329514,0.05414625014630475,SSSC,1720,57.04869843,-135.32314,142,SU16,2,Summer,sea_star,IP,LEPTAS,118,,,AK,Alaska to British Columbia,Alaska,Baranoff,2019-10-31 11:29:34
9,SAGE,Sage Rock,57.04869974,-135.3231401,AK,Baranoff,height,2016,21.142957428671714,12.83756411329514,0.05414625014630475,SSSC,1720,57.04869843,-135.32314,142,SU16,2,Summer,sea_star,IP,PISOCH,23,,,AK,Alaska to British Columbia,Alaska,Baranoff,2019-10-31 11:29:34
10,SAGE,Sage Rock,57.04869974,-135.3231401,AK,Baranoff,height,2017,22.141951766685363,12.379142580010825,0.05647108532248471,SSSC,1720,57.04869843,-135.32314,146,SU17,2,Summer,sea_star,IP,DERIMB,0,,,AK,Alaska to British Columbia,Alaska,Baranoff,2019-10-31 11:29:34
11,SAGE,Sage Rock,57.04869974,-135.3231401,AK,Baranoff,height,2017,22.141951766685363,12.379142580010825,0.05647108532248471,SSSC,1720,57.04869843,-135.32314,146,SU17,2,Summer,sea_star,IP,EVATRO,0,,,AK,Alaska to British Columbia,Alaska,Baranoff,2019-10-31 11:29:34
12,SAGE,Sage Rock,57.04869974,-135.3231401,AK,Baranoff,height,2017,22.141951766685363,12.379142580010825,0.05647108532248471,SSSC,1720,57.04869843,-135.32314,146,SU17,2,Summer,sea_star,IP,HENSPP,0,,,AK,Alaska to British Columbia,Alaska,Baranoff,2019-10-31 11:29:34
13,SAGE,Sage Rock,57.04869974,-135.3231401,AK,Baranoff,height,2017,22.141951766685363,12.379142580010825,0.05647108532248471,SSSC,1720,57.04869843,-135.32314,146,SU17,2,Summer,sea_star,IP,KATTUN,8,,,AK,Alaska to British Columbia,Alaska,Baranoff,2019-10-31 11:29:34
