group_code,site_code,marine_site_name,marine_sort_order,latitude,longitude,marine_common_season,marine_season_code,year,season_sequence,season_name,target_assemblage,method_code,species_code,total,mpa_designation,mpa_region,georegion,bioregion,state_province,island,last_updated
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,85,SP02,2002,1,Spring,sea_star,IP,PISOCH,123,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,87,FA02,2002,3,Fall,sea_star,IP,PISOCH,202,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,89,SP03,2003,1,Spring,sea_star,IP,PISOCH,153,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,91,FA03,2003,3,Fall,sea_star,IP,PISOCH,78,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,93,SP04,2004,1,Spring,sea_star,IP,PISOCH,92,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,95,FA04,2004,3,Fall,sea_star,IP,PISOCH,46,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,97,SP05,2005,1,Spring,sea_star,IP,PISGIG,2,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,97,SP05,2005,1,Spring,sea_star,IP,PISOCH,64,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,99,FA05,2005,3,Fall,sea_star,IP,PISOCH,34,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,101,SP06,2006,1,Spring,sea_star,IP,PISOCH,49,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,103,FA06,2006,3,Fall,sea_star,IP,PISOCH,25,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,105,SP07,2007,1,Spring,sea_star,IP,PISOCH,35,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,107,FA07,2007,3,Fall,sea_star,IP,PISOCH,33,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,109,SP08,2008,1,Spring,sea_star,IP,PISGIG,1,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,109,SP08,2008,1,Spring,sea_star,IP,PISOCH,19,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
